term_key,search_term,ads_campaigns,ads_ad_groups,impressions_ads,clicks_ads,cost_ads,conversions_ads,search_budget_lost_impression_share,ctr_ads,avg_cpc_ads,cpa_ads,query_sc,clicks_sc,impressions_sc,ctr_sc,position_sc,source_match,intent,is_branded,is_priority_product,is_competitor_or_third_party,is_coupon_or_freebie,expected_ctr_sc,opportunity_score,recommended_action,priority,reason,ads_breakdown_summary,revenue_upside_50pct_scale,estimated_revenue_potential_new_kw
kokeshi funciona,kokeshi funciona,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi | search_kokeshi | body splash | search_kokeshi | óleo de rosa mosqueta,1144.0,61.0,78.344916,3.053884,0.0016114096553333,0.0533216783216783,1.2843428852459016,25.654188567738657,kokeshi funciona,68.0,1833.0,0.0370976541189307,2.51,ads+search_console,BRANDED,True,False,False,False,0.1,16,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA aceitável,"WG_Search | Institucional | bd / search_kokeshi: custo R$76.43, conv 3.1, CPA R$25.03, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$1.91, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | body splash: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | óleo de rosa mosqueta: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
produtos kokeshi,produtos kokeshi,WG_Search | Institucional | bd,search_kokeshi,1118.0,219.0,119.994319,12.029155,0.0016114096553333,0.1958855098389982,0.5479192648401827,9.975290783101556,produtos kokeshi,45.0,752.0,0.0598404255319149,1.1,ads+search_console,BRANDED,True,False,False,False,0.18,15,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$119.99, conv 12.0, CPA R$9.98, perda orçamento 0%, manter_escalar_neste_grupo",541.31,
kokeshi creme,kokeshi creme,WG_Search | Institucional | bd,search_kokeshi,651.0,146.0,91.131735,17.462105,0.0016114096553333,0.2242703533026113,0.6241899657534247,5.218828715094772,kokeshi creme,23.0,554.0,0.0415162454873646,1.42,ads+search_console,BRANDED,True,False,False,False,0.18,15,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$91.13, conv 17.5, CPA R$5.22, perda orçamento 0%, manter_escalar_neste_grupo",785.79,
creme coreano para o rosto,creme coreano para o rosto,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | creme coreano para o rosto | shopping | best sellers | todos,3701.0,80.0,61.012856000000006,3.5,0.1216678938796651,0.0216157795190489,0.7626607000000001,17.432244571428573,creme coreano para o rosto,0.0,131.0,0.0,3.8,ads+search_console,COMPRADOR,False,True,False,False,0.05,15,escalar_pago_com_controle,alta,demanda orgânica relevante; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo; produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$38.34, conv 2.0, CPA R$19.17, perda orçamento 12%, manter_escalar_neste_grupo || WG_Shopping | Portfólio Geral | nbd / todos: custo R$13.31, conv 1.5, CPA R$8.87, perda orçamento 0%, manter_otimizar_neste_grupo || WG_Search | Soluções | nbd / search | creme coreano para o rosto: custo R$9.36, conv 0.0, sem CPA, perda orçamento 8%, monitorar",157.5,
kokeshi site oficial,kokeshi site oficial,WG_Search | Institucional | bd,search_kokeshi,337.0,215.0,84.171356,20.500003,0.0016114096553333,0.6379821958456974,0.3914946790697675,4.105919204011824,kokeshi site oficial,20.0,293.0,0.068259385665529,1.01,ads+search_console,BRANDED,True,False,False,False,0.18,13,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$84.17, conv 20.5, CPA R$4.11, perda orçamento 0%, manter_escalar_neste_grupo",922.5,
site kokeshi,site kokeshi,WG_Search | Institucional | bd,search_kokeshi,489.0,271.0,73.656977,35.45931,0.0016114096553333,0.5541922290388548,0.271796963099631,2.077225332359823,site kokeshi,21.0,361.0,0.0581717451523545,1.24,ads+search_console,BRANDED,True,False,False,False,0.18,13,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$73.66, conv 35.5, CPA R$2.08, perda orçamento 0%, manter_escalar_neste_grupo",1595.67,
produto coreano para pele,produto coreano para pele,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos coreanos para pele | search | produtos de skincare | search | skin care coreano | shopping | best sellers,2835.0,93.0,72.45213799999999,4.0,0.1216678938796651,0.0328042328042328,0.7790552473118278,18.1130345,produto coreano para pele,1.0,188.0,0.0053191489361702,1.33,ads+search_console,COMPRADOR,False,False,False,False,0.18,13,escalar_pago_com_controle,alta,demanda orgânica relevante; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Soluções | nbd / search | skin care coreano: custo R$6.72, conv 1.7, CPA R$4.03, perda orçamento 8%, manter_otimizar_neste_grupo || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$5.94, conv 1.3, CPA R$4.46, perda orçamento 8%, manter_otimizar_neste_grupo || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$44.48, conv 1.0, CPA R$44.48, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$11.04, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$4.27, conv 0.0, sem CPA, perda orçamento 0%, monitorar",180.0,
kit ritual hidratação das gueixas,kit ritual hidratação das gueixas,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | kit de skincare | shopping | best sellers | todos,2097.0,66.0,66.13,3.530247,0.1216678938796651,0.0314735336194563,1.001969696969697,18.73240031079978,kit ritual hidratação das gueixas,21.0,309.0,0.0679611650485436,1.45,ads+search_console,COMPRADOR,False,False,False,False,0.18,13,escalar_pago_com_controle,alta,demanda orgânica relevante; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$36.46, conv 2.0, CPA R$17.88, perda orçamento 12%, manter_escalar_neste_grupo || WG_Shopping | Portfólio Geral | nbd / todos: custo R$27.52, conv 1.5, CPA R$18.45, perda orçamento 0%, manter_otimizar_neste_grupo || WG_Search | Soluções | nbd / search | kit de skincare: custo R$2.15, conv 0.0, sem CPA, perda orçamento 8%, monitorar",158.86,
oleo de gueixa,oleo de gueixa,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,1802.0,72.0,63.83,6.0,0.1216678938796651,0.0399556048834628,0.8865277777777778,10.638333333333334,oleo de gueixa,3.0,134.0,0.0223880597014925,1.84,ads+search_console,AMBÍGUA,False,False,False,False,0.1,13,escalar_pago_com_controle,alta,demanda orgânica relevante; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$39.34, conv 3.9, CPA R$10.09, perda orçamento 12%, manter_escalar_neste_grupo || WG_Shopping | Portfólio Geral | nbd / todos: custo R$24.49, conv 2.1, CPA R$11.66, perda orçamento 0%, manter_escalar_neste_grupo",270.0,
site da kokeshi,site da kokeshi,WG_Search | Institucional | bd,search_kokeshi,184.0,107.0,39.414095,8.5551,0.0016114096553333,0.5815217391304348,0.3683560280373832,4.607087585183108,site da kokeshi,8.0,144.0,0.0555555555555555,1.0,ads+search_console,BRANDED,True,False,False,False,0.18,13,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; CTR orgânico abaixo do esperado; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$39.41, conv 8.6, CPA R$4.61, perda orçamento 0%, manter_escalar_neste_grupo",384.98,
kit kokeshi,kit kokeshi,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi | search_kokeshi | olhos de gueixa,503.0,38.0,23.114002,1.17733,0.0016114096553333,0.0755467196819085,0.6082632105263158,19.63256011483611,kit kokeshi,34.0,1275.0,0.0266666666666666,1.35,ads+search_console,BRANDED,True,False,False,False,0.18,13,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; demanda orgânica muito forte; CTR orgânico abaixo do esperado; volume pago relevante; termo já converte no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$22.65, conv 1.2, CPA R$19.24, perda orçamento 0%, manter_otimizar_neste_grupo || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$0.46, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | olhos de gueixa: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",52.98,
kokeshi é confiável,kokeshi é confiável,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi | search_kokeshi | óleo de rosa mosqueta,413.0,18.0,21.50795,3.999994,0.0016114096553333,0.0435835351089588,1.194886111111111,5.376995565493348,kokeshi é confiável,33.0,562.0,0.0587188612099644,1.27,ads+search_console,BRANDED,True,False,False,False,0.18,13,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; CTR orgânico abaixo do esperado; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$21.51, conv 4.0, CPA R$5.38, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | óleo de rosa mosqueta: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",180.0,
cupom kokeshi,cupom kokeshi,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi | search_kokeshi | body splash,528.0,22.0,55.312823,7.65151,0.0016114096553333,0.0416666666666666,2.5142192272727275,7.2290074769555295,cupom kokeshi,37.0,501.0,0.0738522954091816,1.71,ads+search_console,BRANDED,True,False,False,True,0.1,12,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; volume pago relevante; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo; termo de cupom/desconto exige cautela de margem,"WG_Search | Institucional | bd / search_kokeshi: custo R$51.78, conv 7.7, CPA R$6.77, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$3.53, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | body splash: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",344.32,
creme antissinais,creme antissinais,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,4020.0,42.0,33.905464,3.997252,0.1216678938796651,0.0104477611940298,0.8072729523809524,8.482193266774274,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,12,escalar_pago_com_controle,alta,volume pago relevante; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo; produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$7.86, conv 2.0, CPA R$3.93, perda orçamento 0%, manter_escalar_neste_grupo || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$24.75, conv 2.0, CPA R$12.39, perda orçamento 12%, manter_otimizar_neste_grupo || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$1.30, conv 0.0, sem CPA, perda orçamento 8%, monitorar",179.88,
kokeshi cosmeticos,kokeshi cosmeticos,WG_Search | Institucional | bd,search_kokeshi,343.0,82.0,30.226249,11.371592,0.0016114096553333,0.239067055393586,0.3686127926829268,2.658049022511536,kokeshi cosmeticos,20.0,153.0,0.130718954248366,1.22,ads+search_console,BRANDED,True,False,False,False,0.18,12,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Search | Institucional | bd / search_kokeshi: custo R$30.23, conv 11.4, CPA R$2.66, perda orçamento 0%, manter_escalar_neste_grupo",511.72,
gota de colágeno kokeshi,gota de colágeno kokeshi,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi,392.0,15.0,10.673066,0.989693,0.0016114096553333,0.0382653061224489,0.7115377333333334,10.784218944662635,gota de colágeno kokeshi,25.0,594.0,0.042087542087542,1.2,ads+search_console,BRANDED,True,True,False,False,0.18,12,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; CTR orgânico abaixo do esperado; termo já converte no Google Ads; CPA ótimo; produto/categoria prioritária,"WG_Search | Institucional | bd / search_kokeshi: custo R$10.67, conv 1.0, CPA R$10.78, perda orçamento 0%, manter_otimizar_neste_grupo || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",44.54,
gota de colágeno kokeshi é bom,gota de colágeno kokeshi é bom,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana | search_kokeshi | search_kokeshi | body splash | search_kokeshi | olhos de gueixa,161.0,2.0,4.758784,1.0,0.0016114096553333,0.0124223602484472,2.379392,4.758784,gota de colágeno kokeshi é bom,20.0,607.0,0.0329489291598023,2.06,ads+search_console,BRANDED,True,True,False,False,0.1,12,proteger_branded_e_monitorar_incrementalidade,alta,demanda orgânica relevante; alta impressão orgânica; CTR orgânico abaixo do esperado; termo já converte no Google Ads; CPA ótimo; produto/categoria prioritária,"WG_Search | Institucional | bd / search_kokeshi: custo R$4.76, conv 1.0, CPA R$4.76, perda orçamento 0%, manter_otimizar_neste_grupo || WG_Search | Institucional | bd / search_ kokeshi | pele porcelana: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | body splash: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Institucional | bd / search_kokeshi | olhos de gueixa: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
hidratante facial,hidratante facial,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,27613.0,173.0,113.67,7.445309,0.1216678938796651,0.006265164958534,0.6570520231213873,15.267331416332082,hidratante facial,0.0,12.0,0.0,60.330000000000005,ads+search_console,COMPRADOR,False,False,False,False,0.01,11,escalar_pago_com_controle,alta,volume pago relevante; alto volume de cliques pagos; termo já converte no Google Ads; múltiplas conversões no Google Ads; CPA ótimo,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$91.59, conv 5.4, CPA R$16.82, perda orçamento 12%, manter_escalar_neste_grupo || WG_Shopping | Portfólio Geral | nbd / todos: custo R$22.08, conv 2.0, CPA R$11.04, perda orçamento 0%, manter_escalar_neste_grupo || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar",335.04,
